z_id,coupling_type,times,lats,lons,winds
EQ-2011041611190036341399457959__TC-TY1106,EQ-TY,2011-07-31T00:00:00Z,51.7,164.7,0.0
EQ-20100721061900342051356935851__TC-TY1009,EQ-TY,2010-09-01T12:00:00Z,15.6,141.4,0.0
EQ-20100721061900342051356935851__TC-TY1009,EQ-TY,2010-09-01T18:00:00Z,16.9,140.2,0.0
EQ-20100721061900342051356935851__TC-TY1009,EQ-TY,2010-09-02T00:00:00Z,18.0,139.1,0.0
EQ-20100721061900342051356935851__TC-TY1009,EQ-TY,2010-09-02T06:00:00Z,19.5,137.8,0.0
EQ-20100721061900342051356935851__TC-TY1009,EQ-TY,2010-09-02T12:00:00Z,21.1,136.4,0.0
EQ-20100721061900342051356935851__TC-TY1009,EQ-TY,2010-09-02T18:00:00Z,21.9,134.6,0.0
EQ-20100721061900342051356935851__TC-TY1009,EQ-TY,2010-09-03T00:00:00Z,22.5,132.8,0.0
EQ-20100721061900342051356935851__TC-TY1009,EQ-TY,2010-09-03T06:00:00Z,23.2,130.9,0.0
EQ-20100721061900342051356935851__TC-TY1009,EQ-TY,2010-09-03T12:00:00Z,23.8,129.9,0.0
EQ-20100721061900342051356935851__TC-TY1009,EQ-TY,2010-09-03T18:00:00Z,24.4,129.0,0.0
EQ-20100721061900342051356935851__TC-TY1009,EQ-TY,2010-09-04T00:00:00Z,24.7,128.3,18.00554
EQ-20100721061900342051356935851__TC-TY1009,EQ-TY,2010-09-04T03:00:00Z,25.0,128.0,18.00554
EQ-20100721061900342051356935851__TC-TY1009,EQ-TY,2010-09-04T06:00:00Z,25.4,127.8,18.00554
EQ-20100721061900342051356935851__TC-TY1009,EQ-TY,2010-09-04T09:00:00Z,26.0,127.4,18.00554
EQ-20100721061900342051356935851__TC-TY1009,EQ-TY,2010-09-04T12:00:00Z,27.0,127.0,20.57776
EQ-20100721061900342051356935851__TC-TY1009,EQ-TY,2010-09-04T15:00:00Z,27.4,126.8,20.57776
EQ-20100721061900342051356935851__TC-TY1009,EQ-TY,2010-09-04T18:00:00Z,27.8,126.5,20.57776
EQ-20100721061900342051356935851__TC-TY1009,EQ-TY,2010-09-05T00:00:00Z,28.7,126.2,23.14998
EQ-20100721061900342051356935851__TC-TY1009,EQ-TY,2010-09-05T06:00:00Z,29.7,126.2,23.14998
EQ-20100721061900342051356935851__TC-TY1009,EQ-TY,2010-09-05T12:00:00Z,30.6,126.4,23.14998
EQ-20100721061900342051356935851__TC-TY1009,EQ-TY,2010-09-05T18:00:00Z,31.4,126.5,25.7222
EQ-20100721061900342051356935851__TC-TY1009,EQ-TY,2010-09-06T00:00:00Z,31.9,126.6,25.7222
EQ-20100721061900342051356935851__TC-TY1009,EQ-TY,2010-09-06T06:00:00Z,32.3,126.9,25.7222
EQ-20100721061900342051356935851__TC-TY1009,EQ-TY,2010-09-06T12:00:00Z,33.0,127.6,25.7222
EQ-20100721061900342051356935851__TC-TY1009,EQ-TY,2010-09-06T15:00:00Z,33.2,128.0,25.7222
EQ-20100721061900342051356935851__TC-TY1009,EQ-TY,2010-09-06T18:00:00Z,33.5,128.3,25.7222
EQ-20100721061900342051356935851__TC-TY1009,EQ-TY,2010-09-06T21:00:00Z,33.8,128.6,25.7222
EQ-20100721061900342051356935851__TC-TY1009,EQ-TY,2010-09-07T00:00:00Z,34.1,128.8,23.14998
EQ-20100721061900342051356935851__TC-TY1009,EQ-TY,2010-09-07T02:00:00Z,34.4,129.2,23.14998
EQ-20100721061900342051356935851__TC-TY1009,EQ-TY,2010-09-07T03:00:00Z,34.6,129.6,23.14998
EQ-20100721061900342051356935851__TC-TY1009,EQ-TY,2010-09-07T06:00:00Z,34.9,130.5,23.14998
EQ-20100721061900342051356935851__TC-TY1009,EQ-TY,2010-09-07T09:00:00Z,35.3,131.4,23.14998
EQ-20100721061900342051356935851__TC-TY1009,EQ-TY,2010-09-07T12:00:00Z,35.6,132.0,23.14998
EQ-20100721061900342051356935851__TC-TY1009,EQ-TY,2010-09-07T15:00:00Z,35.8,133.2,23.14998
EQ-20100721061900342051356935851__TC-TY1009,EQ-TY,2010-09-07T18:00:00Z,35.8,134.0,20.57776
EQ-20100721061900342051356935851__TC-TY1009,EQ-TY,2010-09-07T21:00:00Z,35.9,134.7,20.57776
EQ-20100721061900342051356935851__TC-TY1009,EQ-TY,2010-09-08T00:00:00Z,35.8,135.6,18.00554
EQ-20100721061900342051356935851__TC-TY1009,EQ-TY,2010-09-08T02:00:00Z,35.6,136.0,18.00554
EQ-20100721061900342051356935851__TC-TY1009,EQ-TY,2010-09-08T03:00:00Z,35.5,136.6,0.0
EQ-20100721061900342051356935851__TC-TY1009,EQ-TY,2010-09-08T06:00:00Z,35.4,138.7,0.0
EQ-20100721061900342051356935851__TC-TY1009,EQ-TY,2010-09-08T12:00:00Z,35.3,140.6,0.0
EQ-20100721061900342051356935851__TC-TY1009,EQ-TY,2010-09-08T18:00:00Z,35.1,141.7,0.0
EQ-20100721061900342051356935851__TC-TY1009,EQ-TY,2010-09-09T00:00:00Z,34.7,142.9,0.0
EQ-20100721061900342051356935851__TC-TY1009,EQ-TY,2010-09-09T06:00:00Z,34.5,143.5,0.0
EQ-20100721061900342051356935851__TC-TY1009,EQ-TY,2010-09-09T12:00:00Z,34.3,144.5,0.0
EQ-20100721061900342051356935851__TC-TY1009,EQ-TY,2010-09-09T18:00:00Z,34.1,145.8,0.0
EQ-20100721061900342051356935851__TC-TY1009,EQ-TY,2010-09-10T00:00:00Z,33.9,147.1,0.0
EQ-20100721061900342051356935851__TC-TY1009,EQ-TY,2010-09-10T06:00:00Z,33.7,148.2,0.0
EQ-200912180845003496139128551__TC-TY0911,TY-EQ,2009-08-28T00:00:00Z,21.4,149.1,0.0
EQ-200912180845003496139128551__TC-TY0911,TY-EQ,2009-08-28T06:00:00Z,22.6,149.1,0.0
EQ-200912180845003496139128551__TC-TY0911,TY-EQ,2009-08-28T12:00:00Z,23.8,149.0,18.00554
EQ-200912180845003496139128551__TC-TY0911,TY-EQ,2009-08-28T18:00:00Z,25.0,148.7,18.00554
EQ-200912180845003496139128551__TC-TY0911,TY-EQ,2009-08-29T00:00:00Z,26.3,147.8,20.57776
EQ-200912180845003496139128551__TC-TY0911,TY-EQ,2009-08-29T06:00:00Z,27.4,146.9,20.57776
EQ-200912180845003496139128551__TC-TY0911,TY-EQ,2009-08-29T12:00:00Z,28.6,146.0,23.14998
EQ-200912180845003496139128551__TC-TY0911,TY-EQ,2009-08-29T18:00:00Z,29.9,144.5,25.7222
EQ-200912180845003496139128551__TC-TY0911,TY-EQ,2009-08-30T00:00:00Z,30.6,142.5,25.7222
EQ-200912180845003496139128551__TC-TY0911,TY-EQ,2009-08-30T06:00:00Z,31.1,141.0,28.29442
EQ-200912180845003496139128551__TC-TY0911,TY-EQ,2009-08-30T09:00:00Z,31.4,140.8,28.29442
EQ-200912180845003496139128551__TC-TY0911,TY-EQ,2009-08-30T12:00:00Z,31.8,140.6,28.29442
